longitude,latitude,addr:housenumber,addr:street,addr:county,addr:postcode,addr:city,addr:state
8429.9517,231227.6383,311,Stuples Hollow Road,Augusta,24430,Craigsville,VA
8383.7888,231217.7925,361,Stuples Hollow Road,Augusta,24430,Craigsville,VA
8494.6506,231136.2761,330,Stuples Hollow Road,Augusta,24430,Craigsville,VA
8460.8714,231128.5046,332,Stuples Hollow Road,Augusta,24430,Craigsville,VA
8611.1174,231104.5741,309,Stuples Hollow Road,Augusta,24430,Craigsville,VA
16710.1122,232504.4248,101,Pond Gap Lane,Augusta,24430,Craigsville,VA
14688.3863,232466.9571,459,Augusta Springs Road,Augusta,24430,Craigsville,VA
14595.6413,232452.7365,487,Augusta Springs Road,Augusta,24430,Craigsville,VA
17134.2778,232474.383,222,Pond Gap Lane,Augusta,24430,Craigsville,VA
17005.2113,232457.3867,21,Hootin Holler Lane,Augusta,24430,Craigsville,VA
16863.6222,232458.2597,30,Fridley Kent Lane,Augusta,24430,Craigsville,VA
14518.5929,232398.5995,511,Augusta Springs Road,Augusta,24430,Craigsville,VA
14708.4763,232397.3202,468,Augusta Springs Road,Augusta,24430,Craigsville,VA
14483.1504,232381.8084,513,Augusta Springs Road,Augusta,24430,Craigsville,VA
16850.7767,232393.9145,50,Fridley Kent Lane,Augusta,24430,Craigsville,VA
14434.7055,232352.4836,527,Augusta Springs Road,Augusta,24430,Craigsville,VA
16870.2732,232288.4718,85,Hootin Holler Lane,Augusta,24430,Craigsville,VA
15657.9717,232273.7717,397,Estaline Valley Road,Augusta,24430,Craigsville,VA
14302.3308,232248.3707,568,Augusta Springs Road,Augusta,24430,Craigsville,VA
17020.9742,232272.9548,64,Hootin Holler Lane,Augusta,24430,Craigsville,VA
14397.7562,232235.0361,548,Augusta Springs Road,Augusta,24430,Craigsville,VA
15623.9049,232238.4083,413,Estaline Valley Road,Augusta,24430,Craigsville,VA
13864.6204,232084.1464,694,Augusta Springs Road,Augusta,24430,Craigsville,VA
13597.0747,232041.9907,3678,Little Calf Pasture Highway,Augusta,24430,Craigsville,VA
13463.5826,232040.8765,3681,Little Calf Pasture Highway,Augusta,24430,Craigsville,VA
13608.5643,232002.5934,3680,Little Calf Pasture Highway,Augusta,24430,Craigsville,VA
12789.2765,231986.4716,3869,Little Calf Pasture Highway,Augusta,24430,Craigsville,VA
15633.5372,231978.1072,516,Estaline Valley Road,Augusta,24430,Craigsville,VA
14124.7132,231937.2954,70,Pothole Drive,Augusta,24430,Craigsville,VA
14069.4262,231878.9284,72,Pothole Drive,Augusta,24430,Craigsville,VA
14011.6749,231820.5275,74,Pothole Drive,Augusta,24430,Craigsville,VA
11692.6798,231781.5436,128,Sweet Spring Lane,Augusta,24430,Craigsville,VA
11579.7012,231749.5967,158,Sweet Spring Lane,Augusta,24430,Craigsville,VA
16070.0924,231796.6695,518,Estaline Valley Road,Augusta,24430,Craigsville,VA
14098.8464,231751.2452,111,Pothole Drive,Augusta,24430,Craigsville,VA
13048.9531,231731.7066,3827,Little Calf Pasture Highway,Augusta,24430,Craigsville,VA
13109.4442,231708.1424,3815,Little Calf Pasture Highway,Augusta,24430,Craigsville,VA
13079.2271,231694.2098,3829,Little Calf Pasture Highway,Augusta,24430,Craigsville,VA
13042.345,231674.5825,3835,Little Calf Pasture Highway,Augusta,24430,Craigsville,VA
10621.9343,231644.8361,129,Brookhollow Road,Augusta,24430,Craigsville,VA
12946.5019,231664.0369,3863,Little Calf Pasture Highway,Augusta,24430,Craigsville,VA
15173.0378,231686.6143,605,Estaline Valley Road,Augusta,24430,Craigsville,VA
13196.3644,231641.3089,913,Augusta Springs Road,Augusta,24430,Craigsville,VA
9081.909,231598.2695,650,Sulpher Springs Road,Augusta,24430,Craigsville,VA
10550.9001,231600.2551,142,Mill Creek Court,Augusta,24430,Craigsville,VA
11373.5775,231610.8157,20,Forest Trap Drive,Augusta,24430,Craigsville,VA
10585.1417,231598.4847,140,Mill Creek Court,Augusta,24430,Craigsville,VA
13373.9948,231625.8981,883,Augusta Springs Road,Augusta,24430,Craigsville,VA
10540.5475,231582.7747,144,Mill Creek Court,Augusta,24430,Craigsville,VA
