longitude,latitude,addr:housenumber,addr:street,addr:county,addr:postcode
4912.816,234795.6284,2736,Marble Valley Road,Augusta County,24439
4899.6389,234675.2013,2774,Marble Valley Road,Augusta County,24439
5184.0723,234270.9788,282,Indian Ford Lane,Augusta County,24439
5179.8403,234169.6265,288,Indian Ford Lane,Augusta County,24439
4655.8209,233789.3509,21,Echols Lane,Augusta County,24439
5079.3057,233766.3766,162,Echols Lane,Augusta County,24439
4097.5435,233186.7772,3207,Marble Valley Road,Augusta County,24439
3913.2075,233123.6959,3253,Marble Valley Road,Augusta County,24439
3968.5442,232701.9148,3340,Marble Valley Road,Augusta County,24439
4281.0044,231901.3443,30,Byrd Lane,Augusta County,24439
3294.066,231469.9264,3685,Marble Valley Road,Augusta County,24439
3470.6797,231457.7953,1803,Ramsey Gap Road,Augusta County,24439
3922.0602,231257.9004,71,Byrd Lane,Augusta County,24439
3840.5357,231223.8195,33,Byrd Lane,Augusta County,24439
2908.2179,231121.8951,3811,Marble Valley Road,Augusta County,24439
3566.5972,230994.1378,1556,Ramsey Gap Road,Augusta County,24439
3777.7889,230822.4258,1550,Ramsey Gap Road,Augusta County,24439
3306.7288,230607.2393,205,Lillybrook Lane,Augusta County,24439
3363.9777,230503.361,216,Lillybrook Lane,Augusta County,24439
3072.8636,230266.9712,318,Lillybrook Lane,Augusta County,24439
8017.5412,229856.9358,5159,Little Calf Pasture Highway,Augusta County,24439
2922.8216,229727.2554,457,Lillybrook Lane,Augusta County,24439
8233.6588,229714.1556,62,Henry Rowe Lane,Augusta County,24439
3253.9452,229583.2426,456,Lillybrook Lane,Augusta County,24439
3032.6578,229513.3942,458,Lillybrook Lane,Augusta County,24439
8425.8421,229522.5673,2,Henry Rowe Lane,Augusta County,24439
8412.1102,229428.7501,5153,Little Calf Pasture Highway,Augusta County,24439
8303.7626,229361.4571,5165,Little Calf Pasture Highway,Augusta County,24439
8344.7449,229288.5507,5163,Little Calf Pasture Highway,Augusta County,24439
8253.0219,229102.0364,5233,Little Calf Pasture Highway,Augusta County,24439
8511.6758,229023.842,802,Railroad Avenue,Augusta County,24439
8099.9409,229015.7623,5279,Little Calf Pasture Highway,Augusta County,24439
8094.4113,228933.4918,5293,Little Calf Pasture Highway,Augusta County,24439
8512.1037,228873.3718,596,Bashaw Road,Augusta County,24439
8281.6385,228785.242,904,Railroad Avenue,Augusta County,24439
8157.3757,228722.973,939,Railroad Avenue,Augusta County,24439
7650.5845,228673.9297,5447,Little Calf Pasture Highway,Augusta County,24439
8202.4765,228672.5871,942,Railroad Avenue,Augusta County,24439
7046.6984,228641.79,225,Ramsey Gap Road,Augusta County,24439
6884.4907,228616.9824,262,Ramsey Gap Road,Augusta County,24439
8010.7203,228618.0285,987,Railroad Avenue,Augusta County,24439
6975.9803,228569.4254,233,Ramsey Gap Road,Augusta County,24439
7963.644,228573.776,999,Railroad Avenue,Augusta County,24439
7760.9541,228527.5741,5429,Little Calf Pasture Highway,Augusta County,24439
7025.7702,228509.5262,217,Ramsey Gap Road,Augusta County,24439
7425.4219,228501.1323,5485,Little Calf Pasture Highway,Augusta County,24439
6982.2718,228495.0626,226,Ramsey Gap Road,Augusta County,24439
6931.7408,228467.0032,214,Ramsey Gap Road,Augusta County,24439
7696.6437,228449.6487,5449,Little Calf Pasture Highway,Augusta County,24439
8427.1933,228434.7213,980,Railroad Avenue,Augusta County,24439
7635.8559,228378.6057,5479,Little Calf Pasture Highway,Augusta County,24439
6897.2045,228326.1076,212,Ramsey Gap Road,Augusta County,24439
7153.7347,228323.2678,169,Ramsey Gap Road,Augusta County,24439
7687.7756,228322.1372,1095,Railroad Avenue,Augusta County,24439
7074.3183,228275.5384,170,Ramsey Gap Road,Augusta County,24439
